"","...1","name","tiplabel","species","AphiaID"
"3985",3985,3985,"Careproctus_cypselurus","Careproctus cypselurus",274421
"3986",3986,3986,"Careproctus_colletti","Careproctus colletti",254547
"3987",3987,3987,"Careproctus_melanurus","Careproctus melanurus",254549
"3988",3988,3988,"Careproctus_canus","Careproctus canus",274416
"3989",3989,3989,"Careproctus_rastrinus","Careproctus rastrinus",274464
"3990",3990,3990,"Careproctus_reinhardti","Careproctus reinhardti",127212
"3991",3991,3991,"Careproctus_gilberti","Careproctus gilberti",NA
"3992",3992,3992,"Elassodiscus_caudatus","Elassodiscus caudatus",280629
"3993",3993,3993,"Elassodiscus_tremebundus","Elassodiscus tremebundus",280631
"3994",3994,3994,"Acantholiparis_opercularis","Acantholiparis opercularis",279480
"3995",3995,3995,"Careproctus_continentalis","Careproctus continentalis",274417
"3996",3996,3996,"Careproctus_longipectoralis","Careproctus longipectoralis",274438
"3997",3997,3997,"Careproctus_attenuatus","Careproctus attenuatus",274410
"3998",3998,3998,"Crystallichthys_cyclospilus","Crystallichthys cyclospilus",280451
"3999",3999,3999,"Liparis_montagui","Liparis montagui",127220
"4000",4000,4000,"Liparis_liparis_liparis","Liparis liparis_liparis",293624
"4001",4001,4001,"Liparis_fabricii","Liparis fabricii",127218
"4002",4002,4002,"Liparis_tunicatus","Liparis tunicatus",154825
"4003",4003,4003,"Liparis_inquilinus","Liparis inquilinus",159528
"4004",4004,4004,"Liparis_atlanticus","Liparis atlanticus",159524
"4005",4005,4005,"Liparis_antarcticus","Liparis antarcticus",274501
"4006",4006,4006,"Liparis_gibbus","Liparis gibbus",159526
"4007",4007,4007,"Liparis_fucensis","Liparis fucensis",274515
"4008",4008,4008,"Liparis_dennyi","Liparis dennyi",254550
"4009",4009,4009,"Liparis_chefuensis","Liparis chefuensis",274507
"4010",4010,4010,"Liparis_tanakae","Liparis tanakae",274541
"4011",4011,4011,"Liparis_agassizii","Liparis agassizii",274499
"4012",4012,4012,"Liparis_mucosus","Liparis mucosus",274527
"4013",4013,4013,"Liparis_pulchellus","Liparis pulchellus",274533
"4014",4014,4014,"Liparis_rutteri","Liparis rutteri",274538
"4015",4015,4015,"Liparis_florae","Liparis florae",274513
"4016",4016,4016,"Liparis_callyodon","Liparis callyodon",274505
"4017",4017,4017,"Nectoliparis_pelagicus","Nectoliparis pelagicus",281641
"4018",4018,4018,"Careproctus_phasma","Careproctus phasma",274460
"4019",4019,4019,"Eumicrotremus_orbis","Eumicrotremus orbis",254535
"4020",4020,4020,"Eumicrotremus_spinosus","Eumicrotremus spinosus",127217
"4021",4021,4021,"Eumicrotremus_derjugini","Eumicrotremus derjugini",127215
"4022",4022,4022,"Cyclopterus_lumpus","Cyclopterus lumpus",127214
"4023",4023,4023,"Aptocyclus_ventricosus","Aptocyclus ventricosus",254299
"4024",4024,4024,"Trichodon_trichodon","Trichodon trichodon",283043
"4025",4025,4025,"Arctoscopus_japonicus","Arctoscopus japonicus",279686
"4026",4026,4026,"Hexagrammos_octogrammus","Hexagrammos octogrammus",254544
"4027",4027,4027,"Hexagrammos_otakii","Hexagrammos otakii",279411
"4028",4028,4028,"Hexagrammos_agrammus","Hexagrammos agrammus",279410
"4029",4029,4029,"Hexagrammos_stelleri","Hexagrammos stelleri",254545
"4030",4030,4030,"Hexagrammos_lagocephalus","Hexagrammos lagocephalus",240735
"4031",4031,4031,"Hexagrammos_decagrammus","Hexagrammos decagrammus",240732
"4032",4032,4032,"Pleurogrammus_monopterygius","Pleurogrammus monopterygius",282289
"4033",4033,4033,"Pleurogrammus_azonus","Pleurogrammus azonus",282288
"4034",4034,4034,"Ophiodon_elongatus","Ophiodon elongatus",240745
"4035",4035,4035,"Lycodes_eudipleurostictus","Lycodes eudipleurostictus",127104
"4036",4036,4036,"Lycodes_mcallisteri","Lycodes mcallisteri",274109
