source_taxon_external_id,source_taxon_name,source_taxon_path,source_specimen_life_stage,interaction_type,target_taxon_external_id,target_taxon_name,target_taxon_path,study_citation
AphiaID:361874,Caligus nanhaiensis,Animalia | Arthropoda | Copepoda | Siphonostomatoida | Caligidae | Caligus | Caligus nanhaiensis,adult,ectoparasitic,AphiaID:AphiaID:361874,Epinephelus awoara,Animalia  |  Arthropoda  |  Copepoda  |  Siphonostomatoida  |  Caligidae  |  Caligus  |  Caligus nanhaiensis,"Wu, Z., J.P. Pan & Q.W. Qin. (1997). The lice disease in cultured banded grouper Epinephelus awoara: pathology. Acta Hydrobiologica Sinica / Shuisheng Shengwu Xuebao 21(3):207-212."
AphiaID:361874,Caligus nanhaiensis,Animalia | Arthropoda | Copepoda | Siphonostomatoida | Caligidae | Caligus | Caligus nanhaiensis,adult,ectoparasitic,AphiaID:AphiaID:361874,Epinephelus awoara,Animalia  |  Arthropoda  |  Copepoda  |  Siphonostomatoida  |  Caligidae  |  Caligus  |  Caligus nanhaiensis,"Johnson, S.C., J.W. Treasurer, S. Bravo, K. Nagasawa & Z. Kabata. (2004). A review of the impact of parasitic copepods on marine aquaculture. <em>In: Hwang, J.S., J.S. Ho & C.T. Shih, (eds). Proceedings of the 8th International Conference on Copepoda, Spe"
AphiaID:361894,Taeniacanthodes dojirii,Animalia | Arthropoda | Copepoda | Cyclopoida | Taeniacanthidae | Taeniacanthodes | Taeniacanthodes dojirii,adult,ectoparasitic,AphiaID:AphiaID:361894,Narcine entemedor,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Taeniacanthidae  |  Taeniacanthodes  |  Taeniacanthodes dojirii,"Braswell, J.S., G.W. Benz & G.B. Deets. (2002). Taeniacanthodes dojirii n. sp. (Copepoda: Poecilostomatoida: Taeniacanthidae), from Cortez electric rays (Narcine entemedor: Torpediniformes: Narcinidae) captured in the Gulf of California, and a phylogeneti"
AphiaID:880498,Setacheres aplysinus,Animalia | Arthropoda | Copepoda | Siphonostomatoida | Asterocheridae | Asterocheres | Setacheres aplysinus,adult,ectoparasitic,AphiaID:AphiaID:880498,Callyspongia (Cladochalina) aculeata,Animalia  |  Arthropoda  |  Copepoda  |  Siphonostomatoida  |  Asterocheridae  |  Asterocheres  |  Setacheres aplysinus,"Johnsson, R. (2002). Asterocherids (Copepoda; Siphonostomatoida) associated with invertebrates from California Reefs: Abrolhos (Brazil). Hydrobiologia 470: 247-266."
AphiaID:880498,Setacheres aplysinus,Animalia | Arthropoda | Copepoda | Siphonostomatoida | Asterocheridae | Asterocheres | Setacheres aplysinus,adult,ectoparasitic,AphiaID:AphiaID:880498,Dysidea janiae,Animalia  |  Arthropoda  |  Copepoda  |  Siphonostomatoida  |  Asterocheridae  |  Asterocheres  |  Setacheres aplysinus,"Johnsson, R. (2002). Asterocherids (Copepoda; Siphonostomatoida) associated with invertebrates from California Reefs: Abrolhos (Brazil). Hydrobiologia 470: 247-266."
AphiaID:361971,Asterocheres spongus,Animalia | Arthropoda | Copepoda | Siphonostomatoida | Asterocheridae | Asterocheres | Asterocheres spongus,adult,ectoparasitic,AphiaID:AphiaID:361971,Aplysina lacunosa,Animalia  |  Arthropoda  |  Copepoda  |  Siphonostomatoida  |  Asterocheridae  |  Asterocheres  |  Asterocheres spongus,"Johnsson, R. (2002). Asterocherids (Copepoda; Siphonostomatoida) associated with invertebrates from California Reefs: Abrolhos (Brazil). Hydrobiologia 470: 247-266."
AphiaID:361971,Asterocheres spongus,Animalia | Arthropoda | Copepoda | Siphonostomatoida | Asterocheridae | Asterocheres | Asterocheres spongus,adult,ectoparasitic,AphiaID:AphiaID:361971,Callyspongia (Cladochalina) aculeata,Animalia  |  Arthropoda  |  Copepoda  |  Siphonostomatoida  |  Asterocheridae  |  Asterocheres  |  Asterocheres spongus,"Johnsson, R. (2002). Asterocherids (Copepoda; Siphonostomatoida) associated with invertebrates from California Reefs: Abrolhos (Brazil). Hydrobiologia 470: 247-266."
AphiaID:361971,Asterocheres spongus,Animalia | Arthropoda | Copepoda | Siphonostomatoida | Asterocheridae | Asterocheres | Asterocheres spongus,adult,ectoparasitic,AphiaID:AphiaID:361971,Dysidea janiae,Animalia  |  Arthropoda  |  Copepoda  |  Siphonostomatoida  |  Asterocheridae  |  Asterocheres  |  Asterocheres spongus,"Johnsson, R. (2002). Asterocherids (Copepoda; Siphonostomatoida) associated with invertebrates from California Reefs: Abrolhos (Brazil). Hydrobiologia 470: 247-266."
AphiaID:361977,Acanthochondria triangularis,Animalia | Arthropoda | Copepoda | Cyclopoida | Chondracanthidae | Acanthochondria | Acanthochondria triangularis,adult,ectoparasitic,AphiaID:AphiaID:361977,Urophycis brasiliensis,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Chondracanthidae  |  Acanthochondria  |  Acanthochondria triangularis,"Alves, D.R., J.L. Luque & A.R. Paraguassu. (2003). Acanthochondria triangularis sp. nov. (Copepoda, Poecilostomatoida, Chondracanthidae) parasitic on Urophycis brasiliensis and U. mystaceus (Osteichthyes, Phycidae) from the Southern Brazilian coastal zone"
AphiaID:361977,Acanthochondria triangularis,Animalia | Arthropoda | Copepoda | Cyclopoida | Chondracanthidae | Acanthochondria | Acanthochondria triangularis,adult,ectoparasitic,AphiaID:AphiaID:361977,Urophycis mystacea,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Chondracanthidae  |  Acanthochondria  |  Acanthochondria triangularis,"Alves, D.R., J.L. Luque & A.R. Paraguassu. (2003). Acanthochondria triangularis sp. nov. (Copepoda, Poecilostomatoida, Chondracanthidae) parasitic on Urophycis brasiliensis and U. mystaceus (Osteichthyes, Phycidae) from the Southern Brazilian coastal zone"
