"","AphiaID_host","Scientificname_host","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"3111",275798,"Halichoeres semicinctus",275798,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=275798","Halichoeres semicinctus","(Ayres, 1859)","accepted",NA,220,"Species",275798,"Halichoeres semicinctus","(Ayres, 1859)",158813,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Halichoeres","Froese, R. and D. Pauly. Editors. (2024). FishBase. Halichoeres semicinctus (Ayres, 1859). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275798 on 2024-05-18","urn:lsid:marinespecies.org:taxname:275798",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"3112",274845,"Sebastes rubrivinctus",274845,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=274845","Sebastes rubrivinctus","(Jordan & Gilbert, 1880)","accepted",NA,220,"Species",274845,"Sebastes rubrivinctus","(Jordan & Gilbert, 1880)",126175,"Animalia","Chordata","Teleostei","Perciformes","Sebastidae","Sebastes","Froese, R. and D. Pauly. Editors. (2024). FishBase. Sebastes rubrivinctus (Jordan & Gilbert, 1880). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274845 on 2024-05-18","urn:lsid:marinespecies.org:taxname:274845",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"3113",282289,"Pleurogrammus monopterygius",282289,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=282289","Pleurogrammus monopterygius","(Pallas, 1810)","accepted",NA,220,"Species",282289,"Pleurogrammus monopterygius","(Pallas, 1810)",270458,"Animalia","Chordata","Teleostei","Perciformes","Hexagrammidae","Pleurogrammus","Froese, R. and D. Pauly. Editors. (2024). FishBase. Pleurogrammus monopterygius (Pallas, 1810). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=282289 on 2024-05-18","urn:lsid:marinespecies.org:taxname:282289",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"3114",154784,"Enophrys diceraus",154784,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=154784","Enophrys diceraus","(Pallas, 1787)","accepted",NA,220,"Species",154784,"Enophrys diceraus","(Pallas, 1787)",154468,"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Enophrys","Froese, R. and D. Pauly. Editors. (2024). FishBase. Enophrys diceraus (Pallas, 1787). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154784 on 2024-05-18","urn:lsid:marinespecies.org:taxname:154784",1,0,0,0,NA,"exact","2009-06-09T07:13:02.347Z"
"3115",313682,"Anoplarchus atropurpureus",313682,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=313682","Anoplarchus atropurpureus","(Kittlitz, 1858)","unaccepted",NA,220,"Species",283194,"Xiphister atropurpureus","(Kittlitz, 1858)",268327,"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Anoplarchus","Froese, R. and D. Pauly. Editors. (2024). FishBase. Anoplarchus atropurpureus (Kittlitz, 1858). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=313682 on 2024-05-18","urn:lsid:marinespecies.org:taxname:313682",1,0,0,0,NA,"exact","2008-02-28T13:41:07.550Z"
"3116",401013,"Sebasticus marmoratus",401013,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=401013","Sebasticus marmoratus","(Cuvier, 1829)","unaccepted","misspelling",220,"Species",282738,"Sebastiscus marmoratus","(Cuvier, 1829)",398104,"Animalia","Chordata","Teleostei","Perciformes","Sebastidae","Sebasticus","Froese, R. and D. Pauly. Editors. (2024). FishBase. Sebasticus marmoratus (Cuvier, 1829). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=401013 on 2024-05-18","urn:lsid:marinespecies.org:taxname:401013",1,0,0,0,NA,"exact","2009-06-15T12:24:27.480Z"
"3117",320281,"Pimelometopon pulcher",320281,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=320281","Pimelometopon pulcher","(Ayres, 1854)","unaccepted",NA,220,"Species",1702292,"Bodianus pulcher","(Ayres, 1854)",297484,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Pimelometopon","Froese, R. and D. Pauly. Editors. (2024). FishBase. Pimelometopon pulcher (Ayres, 1854). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=320281 on 2024-05-18","urn:lsid:marinespecies.org:taxname:320281",1,0,0,0,NA,"exact","2008-02-28T13:41:07.550Z"
"3118",212549,"Anyperodon leucogrammicus",212549,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=212549","Anyperodon leucogrammicus","(Valenciennes, 1828)","accepted",NA,220,"Species",212549,"Anyperodon leucogrammicus","(Valenciennes, 1828)",204130,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Anyperodon","Froese, R. and D. Pauly. Editors. (2024). FishBase. Anyperodon leucogrammicus (Valenciennes, 1828). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=212549 on 2024-05-18","urn:lsid:marinespecies.org:taxname:212549",1,0,0,0,NA,"exact","2022-06-02T07:27:35.967Z"
"3119",218218,"Epinephelus fuscoguttatus",218218,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=218218","Epinephelus fuscoguttatus","(Forsskål, 1775)","accepted",NA,220,"Species",218218,"Epinephelus fuscoguttatus","(Forsskål, 1775)",126068,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Epinephelus","Froese, R. and D. Pauly. Editors. (2024). FishBase. Epinephelus fuscoguttatus (Forsskål, 1775). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=218218 on 2024-05-18","urn:lsid:marinespecies.org:taxname:218218",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"3120",304735,"Epinephelus kohleri",304735,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=304735","Epinephelus kohleri","Schultz, 1953","unaccepted",NA,220,"Species",273845,"Epinephelus cyanopodus","(Richardson, 1846)",126068,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Epinephelus","Froese, R. and D. Pauly. Editors. (2024). FishBase. Epinephelus kohleri Schultz, 1953. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=304735 on 2024-05-18","urn:lsid:marinespecies.org:taxname:304735",1,0,0,0,NA,"exact","2023-01-10T08:56:01.993Z"
